Uhrzeit;Last Winter [MW];Wind 300 MW;PV 100 MW Sommer;PV 100 MW Winter
01:00;720;160;0;0
02:00;680;134;0;0
03:00;640;126;0;0
04:00;620;115;0;0
05:00;620;92;2;0
06:00;660;112;8;0
07:00;940;103;21;2
08:00;1040;98;41;7
09:00;1140;139;60;15
10:00;1160;150;74;21
11:00;1210;174;81;26
12:00;1220;179;80;24
13:00;1200;146;75;23
14:00;1180;120;66;20
15:00;1170;70;52;14
16:00;1190;45;36;7
17:00;1200;55;20;2
18:00;1240;72;8;0
19:00;1250;92;2;0
20:00;1120;87;0;0
21:00;1000;88;0;0
22:00;900;122;0;0
23:00;840;146;0;0
00:00;800;161;0;0
